BTop,BJng,BMid,BAdc,BSup,RTop,RJng,RMid,RAdc,RSup,Winner
0.517039,0.557018,0.518519,0.505829,0.498127,0.529833,0.509972,0.499353,0.468451,0.502555,1
0.524364,0.543799,0.565594,0.5286,0.474946,0.558252,0.494477,0.481038,0.476318,0.48728,0
0.471641,0.485095,0.561508,0.525246,0.534702,0.556116,0.516214,0.506708,0.457083,0.510811,0
0.513399,0.48645,0.421169,0.472814,0.533061,0.516867,0.494477,0.551313,0.503883,0.527418,0
0.500566,0.511305,0.565594,0.472814,0.471503,0.489831,0.515873,0.454766,0.503883,0.437673,0
0.524364,0.543799,0.497972,0.488225,0.533061,0.489831,0.491484,0.506708,0.457083,0.518556,1
0.538462,0.482143,0.565594,0.472814,0.533061,0.530892,0.516214,0.50303,0.515358,0.424386,0
0.496333,0.505097,0.485014,0.481229,0.4884,0.483333,0.494477,0.50303,0.457083,0.49115,0
0.521739,0.504,0.496536,0.523989,0.4884,0.458333,0.494477,0.508434,0.457083,0.516721,0
0.396226,0.509764,0.498615,0.531915,0.4884,0.508671,0.467456,0.551313,0.503883,0.492582,1
0.487148,0.511305,0.488372,0.525246,0.4884,0.477273,0.467456,0.479239,0.504505,0.439394,0
0.582734,0.548387,0.51773,0.523989,0.4884,0.489831,0.504695,0.518456,0.504505,0.516721,0
0.52983,0.511305,0.527027,0.525246,0.516461,0.44523,0.523727,0.467672,0.515358,0.473513,0
0.548387,0.462541,0.498881,0.525246,0.533061,0.467318,0.49184,0.506708,0.447368,0.516721,0
0.518156,0.511305,0.491429,0.488225,0.553571,0.503597,0.516214,0.532258,0.457083,0.496114,1
0.469274,0.507863,0.533333,0.525246,0.516461,0.466042,0.518456,0.445918,0.447368,0.527418,0
